Name EN,States Names,Region,Category,Danger,Danger list,Date inscribed,Coordinates
The Slate Landscape of Northwest Wales,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Cultural,False,,2021,"53.1208333333, -4.115"
Kondoa Rock-Art Sites,United Republic of Tanzania,Africa,Cultural,False,,2006,"-4.7244444444, 35.8338888888"
Cahokia Mounds State Historic Site,United States of America,Europe and North America,Cultural,False,,1982,"38.65861111, -90.06138889"
Independence Hall,United States of America,Europe and North America,Cultural,False,,1979,"39.94861111, -75.15"
Monumental Earthworks of Poverty Point,United States of America,Europe and North America,Cultural,False,,2014,"32.6369444444, -91.4063888889"
San Antonio Missions,United States of America,Europe and North America,Cultural,False,,2015,"29.3280555556, -98.46"
The 20th-Century Architecture of Frank Lloyd Wright,United States of America,Europe and North America,Cultural,False,,2019,"39.9055708333, -79.4664755556"
Historic Centre of Shakhrisyabz,Uzbekistan,Asia and the Pacific,Cultural,True,Y 2016,2000,"39.05, 66.83333"
Complex of Hué Monuments,Viet Nam,Asia and the Pacific,Cultural,False,,1993,"16.46944, 107.57778"
"Landmarks of the Ancient Kingdom of Saba, Marib",Yemen,Arab States,Cultural,True,Y 2023,2023,"15.4268777778, 45.3352277778"
"Yen Tu-Vinh Nghiem-Con Son, Kiep Bac Complex of Monuments and Landscapes",Viet Nam,Asia and the Pacific,Cultural,False,,2025,"21.1192555556, 106.5353972222"
Old Walled City of Shibam,Yemen,Arab States,Cultural,True,Y 2015,1982,"15.92694, 48.62667"
